t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552425191,9,801,401.099156,28,304.009615,200.000000,755.000000,801.000000,801.000000,801.000000,801.000000
1552425221,32,999,558.379315,28,251.898712,534.000000,783.000000,951.000000,999.000000,999.000000,999.000000
1552425251,50,1000,542.665840,16,235.367414,531.000000,679.000000,951.000000,1000.000000,1000.000000,1000.000000
1552425281,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425311,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425341,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425371,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425401,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425431,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425461,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425491,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425521,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425551,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425581,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425611,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425641,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425671,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425701,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425731,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425761,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425791,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425821,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425851,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425881,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425911,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425941,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552425971,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552426001,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552426031,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552426061,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552426091,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552426121,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552426151,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552426181,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552426211,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552426241,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552426271,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552426301,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552426331,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552426361,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552426391,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552426421,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552426451,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552426481,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552426511,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552426541,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552426571,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
1552426601,64,1000,526.695700,16,229.047101,517.000000,659.000000,866.000000,999.000000,1000.000000,1000.000000
