t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1552332526,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1552332536,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1552332546,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1552332556,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1552332566,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1552332576,358,0.848130,0.185463,0.093273,0.067908,0.173388,0.209926,0.282418,0.344986,0.422853,0.848130,5.989690,3.227648,0.667644,0.223810,calls/second,milliseconds
1552332586,694,0.848130,0.162689,0.071856,0.057604,0.151877,0.181119,0.259010,0.308187,0.352353,0.848130,9.947009,8.064335,1.780953,0.603752,calls/second,milliseconds
1552332596,940,4.237815,0.158692,0.063736,0.150922,0.143614,0.170543,0.246678,0.297385,0.348640,4.237815,11.784617,11.183044,2.656115,0.911905,calls/second,milliseconds
1552332606,1191,4.237815,0.149928,0.063736,0.135630,0.138603,0.161120,0.218929,0.269217,0.306727,0.594255,13.267931,13.072004,3.339377,1.161486,calls/second,milliseconds
1552332616,1436,1.860786,0.145484,0.054646,0.088512,0.137567,0.158169,0.209926,0.248948,0.282418,1.860786,14.393395,15.336208,4.138806,1.454815,calls/second,milliseconds
1552332626,1756,5.940282,0.156603,0.054646,0.227449,0.139972,0.164600,0.212659,0.247058,0.300777,5.940282,15.997257,17.057068,4.866948,1.729526,calls/second,milliseconds
1552332636,2075,5.940282,0.152465,0.054646,0.209292,0.139581,0.163038,0.207274,0.233683,0.279998,5.940282,17.325503,18.982638,5.677794,2.037484,calls/second,milliseconds
1552332646,2290,5.940282,0.153398,0.054646,0.214555,0.140514,0.163133,0.202874,0.227062,0.279998,5.940282,17.647207,20.446310,6.433972,2.332990,calls/second,milliseconds
1552332656,2290,5.940282,0.153398,0.054646,0.214555,0.140514,0.163133,0.202874,0.227062,0.279998,5.940282,16.384706,18.749257,6.541646,2.415197,calls/second,milliseconds
1552332666,2290,5.940282,0.153398,0.054646,0.214555,0.140514,0.163133,0.202874,0.227062,0.279998,5.940282,15.291046,15.870903,6.327186,2.388510,calls/second,milliseconds
1552332676,2290,5.940282,0.153398,0.054646,0.214555,0.140514,0.163133,0.202874,0.227062,0.279998,5.940282,14.333930,13.434430,6.119756,2.362118,calls/second,milliseconds
1552332686,2290,5.940282,0.153398,0.054646,0.214555,0.140514,0.163133,0.202874,0.227062,0.279998,5.940282,13.489425,11.371999,5.919126,2.336017,calls/second,milliseconds
