t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552332575,40,16,8.626357,2,3.274800,8.000000,11.000000,15.000000,16.000000,16.000000,16.000000
1552332585,171,20,8.362438,1,4.424763,8.000000,11.000000,16.000000,18.000000,19.000000,20.000000
1552332595,259,20,8.795467,1,4.316146,8.000000,12.000000,16.000000,17.000000,18.000000,20.000000
1552332605,387,30,8.807048,1,4.624541,8.000000,12.000000,16.000000,18.000000,20.000000,30.000000
1552332615,525,30,8.669155,1,4.499796,8.000000,12.000000,16.000000,17.000000,18.000000,30.000000
1552332625,650,30,8.560950,1,4.457587,8.000000,12.000000,16.000000,17.000000,18.000000,30.000000
1552332635,738,30,8.619881,1,4.485583,8.000000,12.000000,16.000000,17.000000,18.000000,30.000000
1552332645,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332655,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332665,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332675,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332685,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332695,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332705,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332715,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332725,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332735,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332745,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332755,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332765,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332775,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332785,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332795,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332805,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332815,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332825,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332835,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332845,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332855,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332865,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332875,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332885,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332895,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332905,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332915,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332925,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332935,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332945,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
1552332955,791,30,8.557674,1,4.572078,8.000000,12.000000,17.000000,17.000000,18.000000,30.000000
