t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552575250,158,19,9.745432,1,4.763073,9.000000,14.000000,17.000000,18.000000,18.000000,19.000000
1552575260,180,19,9.864437,1,4.710941,10.000000,14.000000,17.000000,18.000000,18.000000,19.000000
1552575270,248,19,9.891901,1,4.763895,10.000000,14.000000,17.000000,18.000000,18.000000,19.000000
1552575280,341,19,9.677002,1,4.801349,10.000000,14.000000,17.000000,18.000000,18.000000,19.000000
1552575290,475,19,9.688895,1,4.858124,10.000000,14.000000,17.000000,18.000000,18.000000,19.000000
1552575300,556,19,9.719189,1,4.887434,10.000000,14.000000,17.000000,18.000000,18.000000,19.000000
1552575310,598,19,9.746399,1,4.940440,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575320,670,19,9.759092,1,4.913527,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575330,715,19,9.815320,1,4.905971,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575340,722,19,9.780864,1,4.902596,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575350,722,19,9.780864,1,4.902596,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575360,722,19,9.780864,1,4.902596,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575370,722,19,9.780864,1,4.902596,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575380,722,19,9.780864,1,4.902596,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575390,722,19,9.780864,1,4.902596,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575400,722,19,9.780864,1,4.902596,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575410,722,19,9.780864,1,4.902596,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575420,722,19,9.780864,1,4.902596,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575430,722,19,9.780864,1,4.902596,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575440,722,19,9.780864,1,4.902596,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575450,722,19,9.780864,1,4.902596,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575460,722,19,9.780864,1,4.902596,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575470,722,19,9.780864,1,4.902596,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575480,722,19,9.780864,1,4.902596,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575490,722,19,9.780864,1,4.902596,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575500,722,19,9.780864,1,4.902596,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575510,722,19,9.780864,1,4.902596,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575520,722,19,9.780864,1,4.902596,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
