t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552575250,92,18,10.213601,2,5.038094,10.000000,14.000000,18.000000,18.000000,18.000000,18.000000
1552575260,216,18,10.134433,1,4.874574,10.000000,14.000000,18.000000,18.000000,18.000000,18.000000
1552575270,372,18,9.794773,1,4.772250,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575280,472,18,9.893437,1,4.749640,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575290,658,18,10.002848,1,4.788232,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575300,826,18,9.964549,1,4.754995,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575310,988,18,9.936386,1,4.761164,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575320,1102,18,9.908845,1,4.744395,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575330,1214,18,9.826276,1,4.745820,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575340,1348,18,9.663169,1,4.748801,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575350,1478,18,9.600642,1,4.725884,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575360,1594,18,9.576929,1,4.739871,10.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575370,1730,18,9.507029,1,4.741760,9.000000,13.000000,17.000000,18.000000,18.000000,18.000000
1552575380,1896,18,9.460801,1,4.828094,9.000000,14.000000,17.000000,18.000000,18.000000,18.000000
1552575390,1998,70,9.703188,1,5.524923,9.000000,14.000000,18.000000,18.000000,18.000000,70.000000
1552575400,2137,70,9.699779,1,5.453411,9.000000,14.000000,18.000000,18.000000,18.000000,70.000000
1552575410,2210,70,9.734742,1,5.369330,10.000000,13.000000,18.000000,18.000000,18.000000,70.000000
1552575420,2366,70,9.733426,1,5.274541,10.000000,13.000000,17.000000,18.000000,18.000000,70.000000
1552575430,2495,70,9.675383,1,5.243785,10.000000,14.000000,17.000000,18.000000,18.000000,36.000000
1552575440,2512,70,9.644508,1,5.184361,9.000000,13.000000,17.000000,18.000000,18.000000,36.000000
1552575450,2666,70,9.640766,1,5.106665,10.000000,14.000000,17.000000,18.000000,18.000000,20.000000
1552575460,2774,70,9.638741,1,5.200020,10.000000,14.000000,17.000000,18.000000,18.000000,28.000000
1552575470,2822,70,9.599415,1,5.192684,9.000000,14.000000,17.000000,18.000000,18.000000,28.000000
1552575480,2908,70,9.621832,1,5.222195,9.000000,14.000000,17.000000,18.000000,18.000000,28.000000
1552575490,3015,70,9.531056,1,5.178143,9.000000,14.000000,17.000000,18.000000,20.000000,28.000000
1552575500,3113,70,9.651523,1,5.145507,10.000000,14.000000,17.000000,18.000000,18.000000,28.000000
1552575510,3173,70,9.699954,1,5.187373,10.000000,14.000000,17.000000,18.000000,21.000000,27.000000
1552575520,3241,70,9.631177,1,5.145382,9.000000,14.000000,17.000000,18.000000,20.000000,27.000000
