t,value
1552575249,0.0
1552575259,0.0
1552575269,0.0
1552575279,0.0
1552575289,0.0
1552575299,0.0
1552575309,0.0
1552575319,0.0
1552575329,0.0
1552575339,0.0
1552575349,0.0
1552575359,0.0
1552575369,0.0
1552575379,0.0
1552575389,0.0
1552575399,0.0
1552575409,0.0
1552575419,0.0
1552575429,0.0
1552575439,0.0
1552575449,0.0
1552575459,2.4993751562109475E-4
1552575469,2.3998080153587713E-4
1552575479,2.2851919561243144E-4
1552575489,2.2007042253521127E-4
1552575499,6.351894982002964E-4
1552575509,6.061830672863204E-4
1552575519,5.828638041577618E-4
